id,RequirementText,NFR
0,The system  refresh the display every 60 .,1
1,The   match the color of the  set forth by Department of Homeland Security,1
2,If  the data   read On a  projection screen 90 of viewers    to read Event  Activity data from a viewing  of ,1
3,The  shall  available during normal business . As long as the user has access to the client PC the    available 99% of the time during the first six  of .,1
4,If projected the  must   On a  projecti screen 90 of  must   to determine that Events or Activities are ing in current time from a   of 0,1
5,The  sh  that  can only be accessed by authorized users. The  will be  to distguish between authorized and unauthorized users   access attempts,1
6,The  shall be intuitive and -explana. : 90 of new  shall be able to start  display of Events or Activities  90  of using  .,1
7,The  shall respond  to keep up-to-date  in the .,1
8,The   have a MDI form that allows for the viewing of the graph and the data .,0
9,The system  display Events in a vertical table by time.,0
10,The system  display the Events in a graph by time.,0
11,The system  display Events or Activities.,0
12,The display  have two  left 2/3 of the display is graphical right 1/3 of the display is a data table,0
13,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,0
14,The  side of the display shall be split into 2    temporal.,0
15,The top /4 of the table will hold  that are to occur l.,0
16,The bottom 4 of the table will hold  that occur according to its relevance to current time.,0
17,The system  color code   to  variance from  time.,0
18,The system  display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,0
19,The system  link Events back  either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,0
20,The   allow modification of the .,0
21,The   offer a display of all the Events in the .,0
22,The system  filter  by Venues and Key Events.,0
23,The system  allow a user to define the time ,0
24,The system  display the local and exercise time in separate ,0
25,The   offer the ability to pause and resume the resh of .,0
26,The system  provide charts for the Activity or Event actual versus assumed time.,0
27,The system  provide a history report of changes made to the Activity or Event ,0
28,The  and  of the  shall conform to the user interface standards of the  .,1
29,The user   have standard s buttons for ,1
30,The  shall have a professional ,1
31,The  shall have a consistent color scheme and s.,1
32,The   be used by realtors with no .,1
33,The    intuitive and self explanatory.,1
34,The  shall be easy for a realtor to .,1
35,The  shall use symbols and words that are naturally  by the realtor .,1
36,The   produce search results in an acceptable ,1
37,The search   be returned no later 30 seconds after the user has entered the search ,1
38,The  shall generate a CMA report in an acceptable .,1
39,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,1
40,The  shall oni contacts and appointments in an acceptable .,1
41,The  shall oni with the office system every .,1
42,The  shall be available for use 24 hours per day 365 days per year,1
43,Out of 1000 es to the system the system  available 999 .,1
44,The  shall operate in off mode whenever internet connection is unavailable.,1
45,The  shall allow the user to view previously downloaded search results CMA reports and .,1
46,The  shall retain user preferences in the event of a .,1
47,     shall be restored when system comes back .,1
48,The   be  to support multiple remote users,1
49,The   be able support 1000 simultaneous users.,1
50,The   be capable of handling the existing 1000 . This  is expected to grow 5 times within the next year.,1
51,The  shall  installed by an trained realtor without rece to -printed .,1
52,90% of trained real shall be  to install the product on their device   ,1
53,The  is  to run on Windows CE and Palm operating systems.,1
54,Only registered real shall be  to access the .,1
55,Every  of the  shall be  and authorized.,1
56,The  shall prevent its data from incorrect data being introduced.,1
57,The system  allow a real estate agent to query MLS ,0
58,The   be  to get driving directions to a  ,0
59,The user  be  to download appointments and contact information for ,0
60,The system  display clear property images in the search ,0
61,The system  update or create new property listings in the MLS,0
62,Realtor  be  to generate a CMA report based on  ,0
63,The system  be able to call the seller or buyer to schedule an ,0
64,The tor  be notified of new client appointments after automatic onization with office system,0
65,The tor   able to retrieve a map showing property locations for a specified ,0
66,The system  not the tor when a seller or buyer responds to an appointment ,0
67,The   allow the user to save the property search .,0
68,The   be easy to  by  Program Administrators/Nursing Staff Members.,1
69,All of the users sh   to use the system after one day of training.,1
70,The    the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,1
71,The  of   by  students  be decreased by 50% in  first .,1
72,The  shall be intuitive to  Program Administrators/Nursing Staff Members.,1
73,2 out of 3 Program Administrators/Nursing Staff Memrs     to use the system to manage the scheduling of classes and clinicals.,1
74,The   use symbols and words that are naturally  by the user .,1
75,The verbge used within the   be consistent with Standard English and the terminology of the national Nursing Community.,1
76,Staff   be  to complete a set of tasks in a  .,1
77,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,1
78,The     for  tween the hours of 8am and 6.,1
79,The   achieve 95% up time.,1
80,    to handle all of the user requests/usage during business .,1
81,The    to 10 simultaneous users from 9am to .,1
82,The  shall  capable of processing 100% of nursing students and their classes for the next 10 .,1
83,The  shall   to manage the nursing program curriculum and class/clinical scheduling for a minimum of  .,1
84,The  shall  to operate within a business office environment typical of the Nursing Department at DePaul University.,1
85,The   be used within the specifications  by the  used by the Program Administrators/Nursing Staff Members.,1
86,The system shall operate within the Windows XP Professional operating system.,1
87,The   interface with CampuConnect’ central erver,1
88,The   interface with the faculty central .,1
89,The   interface with the student master .,1
90,We must be able to interface with any HTML browser.,1
91,Only authorized  shall have access to clinical site information.,1
92,Program AdministratorsNursing Staff Members are    who  have access to clinical site details.,1
93,Only    have access to students’ personal information.,1
94,Dr Susan Poslusny and Dr Julie Donalek are    who  have access to students’ personal information.,1
95,Only   shall have access to the portion of the system that interfaces with CampusConnect.,1
96,Fit Criterion Dr Susan Poslusny and Karen Sysol are the only people who  have  to the     for the     CampusConnect.,1
97,The   have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,1
98,The   protect private information in accordance with the organization’s information .,1
99,The   be built such that it is as secure as possible from malicious interference.,1
100,Th   u  organization’ dard viru protction oftwar to hlp monitor thrat to itlf.,1
101,A  shll  ssited to one Prom of Study offered by the deprtment.,0
102,Program Administrators  Nursing Staff Members  be  to add a listing of students to a hort.,0
103,Program Administrators  Nursing Staff Members  be  to add a single student to a rt,0
104,Students  to a hort   eligible for the hort’s Program of Study.,0
105,Program Administrators  Nursing Staff Members  be  to specify the preferred sequence of classes for a  hort.,0
106,For    a sequence for a  Program Administrators  Nursing Staff Members shall be able to specify which quarter that   be offered.,0
107,For    a sequence for a  Program Administrators  Nursing Staff Members shall be able to specify which quarter that   be offered.,0
108,Program Administrators  Nursing Staff Members  be  to add new classes to a sequence of classes,0
109,Program Administrators  Nursing Staff Members  be  to add clinical classes or sections to a  of classes,0
110,Program Administrators and Nursing Staff Members  be able to add a new hort to the system identified by start month and year.,0
111,Program Administrators  Nursing Staff Members  be  to add new classes for the nursing department into the system.,0
112,A class  be either a non-clinical class or a clinical class.,0
113,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,0
114,A clinical class  specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,0
115,Program AdministratoNuing Staff Mem   able to create a new Program of Study.,0
116,A Program of Study   of a program name and listing of required  both clinical and non-clinical that must be completed.,0
117,Program Administrators  Nursing Staff Members  have the ability to specify which classes are required for a Program of Study,0
118,The   be  to display a report of needed   a given quarter  all cohorts of all programs  Program Administrators/Nursing Staff Members’ planning purposes.,0
119,The  of needed   include (but not be limited to  to be offered number of sections needed number of labs needed and room  needed.,0
120,Classes for a  hort  not ict with regards to the time  day that they are offered.,0
121,Program Administrators  Nursing Staff Members  be  to add a new clinical site into the system.,0
122,Clinical site   include (but not be limited to) the name of the site contact person and contact .,0
123,Program Administrators  Nursing Staff Memrs   able to add a new clinical lab section for an existing clinical class into the System.,0
124,A clinical lab   include the clinical site name the class instructor day and time of the lab.,0
125,Program Administrators  Nursing Staff Members  be able to add a student who has registered for a clinical class to a clinical lab section for that class.,0
126,The system  allow a Program Administrator or Nursing staff member to remove a student from a clinical lab .,0
127,The system  allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical .,0
128,Program AdministratoNuing Staff Membe  be  to cancel a clinical lab section only if there are no students registered for that clinical lab section.,0
129,A Program AdministratorNursing Staff Memr   able to add a new nursing student to the system.,0
